,app_nums,overdue_nums,app_nums/overdue_nums
cn.nubia.mms,10,0,0.0
cn.nubia.music.preset,10,0,0.0
cn.nubia.musicpicker.preset,10,0,0.0
cn.nubia.myfile,10,0,0.0
cn.nubia.nbgame,10,0,0.0
cn.nubia.nbrouteservice,7,0,0.0
cn.nubia.neopush,10,0,0.0
cn.nubia.neoshare,10,0,0.0
cn.nubia.neostore,10,0,0.0
cn.nubia.notepad.preset,10,0,0.0
cn.nubia.nubiashop,10,0,0.0
cn.nubia.owlsystem,5,0,0.0
cn.nubia.paycomponent,10,0,0.0
cn.nubia.phonemanualintegrate.preset,10,0,0.0
cn.nubia.photoeditor,10,0,0.0
cn.nubia.powersaving,5,0,0.0
cn.nubia.presetpackageinstaller,10,0,0.0
cn.nubia.processmanager,10,0,0.0
cn.nubia.quicksearchbox,10,0,0.0
cn.nubia.register,9,0,0.0
cn.nubia.scanner,10,0,0.0
cn.nubia.security2,10,0,0.0
cn.nubia.sensor,10,0,0.0
cn.nubia.setupwizard,10,0,0.0
cn.nubia.share,8,0,0.0
cn.nubia.singlehandpageset,10,0,0.0
cn.nubia.smartface,1,0,0.0
cn.nubia.smsregister,1,0,0.0
cn.nubia.soundrecorder.preset,10,0,0.0
cn.nubia.supersnap,10,0,0.0
cn.nubia.systemupdate,10,0,0.0
cn.nubia.theme.apply,10,0,0.0
cn.nubia.thememanager,10,0,0.0
cn.nubia.trafficcontrol,8,0,0.0
cn.nubia.ultrapower.launcher,5,0,0.0
cn.nubia.upgradeservice,5,0,0.0
cn.nubia.usercenter,5,0,0.0
cn.nubia.v5light.preset,10,0,0.0
cn.nubia.video,10,0,0.0
cn.nubia.videosample,3,0,0.0
cn.nubia.weather,10,0,0.0
cn.nubia.wfd,10,0,0.0
cn.nubia.wfd.server,5,0,0.0
cn.nubia.wlancamera,5,0,0.0
cn.nubia.woodpecker,10,0,0.0
cn.nubia.wps_moffice,10,0,0.0
cn.nubia.yulorepage,10,0,0.0
cn.nubia.zappdatabackup,10,0,0.0
cn.nubia.zbiglauncher.preset,10,0,0.0
cn.nubia.ziconunity,8,0,0.0
cn.nutfin.almondWallet,29,9,0.3103448275862069
cn.oneplus.nvbackup,2,2,1.0
cn.oneplus.photos,2,2,1.0
cn.opda.a.phonoalbumshoushou,36,9,0.25
cn.org.bjca.sctelecom.debug,1,0,0.0
cn.org.gzjjzd.gzjjzd,5,1,0.2
cn.org.sipspf,1,1,1.0
cn.paidan.jiebei,1,0,0.0
cn.paidan.sudaihuabei,1,0,0.0
cn.paigea.live,1,1,1.0
cn.pandalive.dhtx,3,2,0.6666666666666666
cn.pandalive.jhqb,1,0,0.0
cn.passiontec.dxs,1,0,0.0
cn.peifanwang.app,1,0,0.0
cn.pocketwallet.pocketwallet,23,5,0.21739130434782608
cn.poco.BabyCamera,1,0,0.0
cn.poco.interphoto2,2,0,0.0
cn.poco.jane,4,0,0.0
cn.poco.pMix,1,1,1.0
cn.poco.photo,1,0,0.0
cn.pos.perfectbill,2,1,0.5
cn.pos.wgyk,1,0,0.0
cn.pos.woniu,2,1,0.5
cn.pos.yqh,1,0,0.0
cn.pos.zhongyi,2,1,0.5
cn.pospal.www.android_phone_pos.pospal,1,0,0.0
cn.pospal.www.pospal_seller_mobile_android,1,0,0.0
cn.pospt.bailiwukafu,2,0,0.0
cn.postar.txb_pay_android,4,1,0.25
cn.qingspay,1,0,0.0
cn.qtone.xxt.android.teacher,1,0,0.0
cn.qtone.xxt.guangdong,3,0,0.0
cn.rainbow.westore,4,0,0.0
cn.re99.huangli,1,0,0.0
cn.richinfo.automail,28,7,0.25
cn.richinfo.dm,12,2,0.16666666666666666
cn.rongdao.jrkabao,10,5,0.5
cn.rv.album,1,1,1.0
cn.safe.safecore,4,0,0.0
cn.safe.safeinstaller,4,0,0.0
cn.safe.safesettings,4,0,0.0
cn.safetrip.edog,1,0,0.0
cn.sanyun.milidai,1,0,0.0
cn.segi.uhome,1,0,0.0
cn.sharesmile.enjoychat,1,0,0.0
cn.shgas.mcs.android,1,0,0.0
cn.shishidai.H5D5071E4,2,1,0.5
cn.shurendaily.app,1,1,1.0
cn.sjjsd.shoujidaikuanwang,1,0,0.0
cn.skinscopy.iskin,1,0,0.0
cn.soloho.oraclebb,1,0,0.0
cn.sooying.easyloan,1,0,0.0
cn.soulapp.android,3,0,0.0
cn.speedtest.cloud,1,0,0.0
cn.srbank,1,1,1.0
cn.sscbox,3,0,0.0
cn.ssdl.bluedict,1,0,0.0
cn.sszhuan.app,1,0,0.0
cn.suanya.train,2,1,0.5
cn.sudiyi.app.client,3,0,0.0
cn.sudiyi.app.courier,3,0,0.0
cn.swiftpass.enterprise.ceb,1,0,0.0
cn.swiftpass.enterprise.cib.appstore,2,1,0.5
cn.tcl.usercare,1,1,1.0
cn.ten10.games.weiwei.nearme.gamecenter,1,0,0.0
cn.tianya.light,6,3,0.5
cn.ticktick.task,3,0,0.0
cn.ticktick.task.tcl,1,1,1.0
cn.tk.online,3,1,0.3333333333333333
cn.tongchengfs.byq,10,4,0.4
cn.touna.touna,1,0,0.0
cn.tsign.esign,1,1,1.0
cn.ubaby.ubaby,1,0,0.0
cn.ultralisk.gameapp.game03.nearme.gamecenter,1,0,0.0
cn.ultralisk.gameapp.game23.wali,1,0,0.0
cn.upenny.qianbaikuai,1,0,0.0
cn.uqu8.brainsharp,1,0,0.0
cn.v6.sixrooms,2,1,0.5
cn.v6.xiuchang,2,0,0.0
cn.vip581.video,1,0,0.0
cn.wangxiao.hszgzhuntiku,1,1,1.0
cn.wanlianggui,11,1,0.09090909090909091
cn.webzhan.live,1,0,0.0
cn.weipan.fb,1,0,0.0
cn.wiaapp.hbscw,1,0,0.0
cn.win888.banying,1,1,1.0
cn.wps.moffice_eng,721,178,0.24687933425797504
cn.wps.moffice_i18n,6,2,0.3333333333333333
cn.wps.note,1,0,0.0
cn.wsds.gamemaster,4,1,0.25
cn.wzbank.mobilebank,4,0,0.0
cn.x4yn7.app,1,0,0.0
cn.xbpos,1,0,0.0
cn.xhy.update.tianhong,1,0,0.0
cn.xiaochuankeji.tieba,15,1,0.06666666666666667
cn.xingxingdiandeng,3,2,0.6666666666666666
cn.xingyi.jieqianbao,1,0,0.0
cn.xmfengrong.sudai,1,1,1.0
cn.xq.shareelb,5,1,0.2
cn.xt800,2,2,1.0
cn.xxt.nm.app,2,0,0.0
cn.ydjr.app,1,0,0.0
cn.yihuzhijia.app,1,1,1.0
cn.yikatong.activity,1,0,0.0
cn.yingxuanpos,1,0,0.0
cn.yipinhua,3,2,0.6666666666666666
cn.yiqi.photo,8,2,0.25
cn.yizuanbao.appc,2,1,0.5
cn.yododo.manager,1,0,0.0
cn.yonghui.hyd,5,1,0.2
cn.youth.news,7,3,0.42857142857142855
cn.yszr.meetoftuhao,1,0,0.0
cn.ytsmwhc.bestmother,1,1,1.0
cn.yuanguan.shandianjiekuan,2,1,0.5
cn.yy.fudai,2,1,0.5
cn.yy.huayi,1,0,0.0
cn.yy.weekend,1,0,0.0
cn.yzfpos,1,0,0.0
cn.zac.esd,27,8,0.2962962962962963
cn.zdkj.ybt,2,1,0.5
cn.zhimawu,1,0,0.0
cn.zhimazhiao,17,4,0.23529411764705882
cn.zhuanke.zhuankeAPP.oppo,1,0,0.0
cn.zhui.yiqiwork.loanquick,1,0,0.0
cn.zqhy.btgame.changyou,1,0,0.0
