,app_nums,overdue_nums,app_nums/overdue_nums
cn.com.aijialicai,2,1,0.5
cn.com.bailian.bailianmobile,1,0,0.0
cn.com.benclients,1,1,1.0
cn.com.bhbc.mobilebank.per,1,0,0.0
cn.com.bluemoon.delivery,1,0,0.0
cn.com.bluemoon.sfa,1,0,0.0
cn.com.bmac.nfc,5,0,0.0
cn.com.bsb.db.BSDigitalBank,2,1,0.5
cn.com.bsb.mbank,12,1,0.08333333333333333
cn.com.bsb.mbank.mbcb,1,0,0.0
cn.com.busteanew,3,1,0.3333333333333333
cn.com.carsmart.lecheng,1,0,0.0
cn.com.cf8.school,1,0,0.0
cn.com.changan.cc,1,0,0.0
cn.com.chinastock.jl,3,0,0.0
cn.com.chinatelecom.account,3,0,0.0
cn.com.cityweekend.android,1,0,0.0
cn.com.cloudsplus.louxiaoer,1,0,0.0
cn.com.cmbc.dbank,4,1,0.25
cn.com.cmbc.mbank.cc,28,4,0.14285714285714285
cn.com.cmbc.mbank.ep,1,0,0.0
cn.com.cmbc.newmbank,256,59,0.23046875
cn.com.concept,2,0,0.0
cn.com.concept.first,1,0,0.0
cn.com.crc.mango,1,1,1.0
cn.com.crc.mlearning,1,0,0.0
cn.com.csbank,5,0,0.0
cn.com.ctbri.pptoc,5,1,0.2
cn.com.cyberays.mobapp,2,0,0.0
cn.com.dareway.mhsc,2,1,0.5
cn.com.dareway.mhsc_dongying,2,1,0.5
cn.com.doov.fileexplorer,1,0,0.0
cn.com.easyman.lsdqt,1,0,0.0
cn.com.edu_edu.gk_qg,1,0,0.0
cn.com.enlivenball,3,1,0.3333333333333333
cn.com.essence.stock,3,0,0.0
cn.com.ethank.mobilehotel,1,1,1.0
cn.com.fashionlake.runbeard,1,0,0.0
cn.com.fdbank.ui,1,0,0.0
cn.com.fetion,1,0,0.0
cn.com.gdbank.direct,15,4,0.26666666666666666
cn.com.gf.android_store,1,0,0.0
cn.com.gf.zzkh,2,0,0.0
cn.com.gome.meixin,1,1,1.0
cn.com.gopay,1,0,0.0
cn.com.greatchef,1,0,0.0
cn.com.gridinfo.sooc,1,0,0.0
cn.com.gzbank.mbank,27,8,0.2962962962962963
cn.com.gzbank.ui,4,2,0.5
cn.com.hebbank.mbank,1,1,1.0
cn.com.hebeibank.mbank,1,1,1.0
cn.com.hkgt.gasapp,12,3,0.25
cn.com.hnisi.dgsssb,1,1,1.0
cn.com.hrcrb.mobile.directbank,1,0,0.0
cn.com.hrcrb.mobilebank.per,2,2,1.0
cn.com.hsbank,4,1,0.25
cn.com.hsbc.chinacreditcard,1,0,0.0
cn.com.hsbc.hsbcchina,6,2,0.3333333333333333
cn.com.htjc.pay,10,3,0.3
cn.com.huchi.wallet,1,1,1.0
cn.com.huishangbank.mbank,5,2,0.4
cn.com.hzb.mobilebank.per,2,1,0.5
cn.com.iqo.aegis.perfect,1,1,1.0
cn.com.jmw.m,1,0,0.0
cn.com.kanjian,2,2,1.0
cn.com.kuaishua,34,7,0.20588235294117646
cn.com.kuting.activity,1,1,1.0
cn.com.kypj.ADDN20170720,1,0,0.0
cn.com.kypj.ZJRYX20171115,1,0,0.0
cn.com.langeasy.LangEasyLexis,1,1,1.0
cn.com.langeasy.LangEasyLrc,1,0,0.0
cn.com.lawchat.android.forpublic,2,1,0.5
cn.com.lawson,1,0,0.0
cn.com.lzb.mobilebank.per,3,1,0.3333333333333333
cn.com.magicwifi,5,0,0.0
cn.com.microtrust.rpagent,1,0,0.0
cn.com.nccbank.dbank,1,1,1.0
cn.com.nccbank.mbank,4,2,0.5
cn.com.ngds.gamestore,2,0,0.0
cn.com.ngds.gamestoreremax,1,0,0.0
cn.com.njcb.android.mobilebank,5,2,0.4
cn.com.njxmxbank.mbank,2,0,0.0
cn.com.nobook,1,0,0.0
cn.com.opda.android.clearmaster,1,1,1.0
cn.com.open.mooc,3,0,0.0
cn.com.ourclass.student,1,0,0.0
cn.com.pcauto.android.browser,3,1,0.3333333333333333
cn.com.pcdriver.android.browser,3,1,0.3333333333333333
cn.com.pconline.android.browser,2,0,0.0
cn.com.qyfy.app,1,0,0.0
cn.com.robusoft.floweridentification,1,0,0.0
cn.com.sec.Paperfun.common,9,2,0.2222222222222222
cn.com.sec.Paperfun.common.appicon,3,1,0.3333333333333333
cn.com.sec.Paperfun.common.home,3,1,0.3333333333333333
cn.com.sec.Paperfun.common.wallpaper,3,1,0.3333333333333333
cn.com.servyou.servyougstax,1,0,0.0
cn.com.shbank.mper,58,14,0.2413793103448276
cn.com.shinektv.network.ktv,1,1,1.0
cn.com.shopec.uj.app,1,0,0.0
cn.com.sina.finance,1,0,0.0
cn.com.sina.finance.cocktail,1,0,0.0
cn.com.sina.sports,6,1,0.16666666666666666
cn.com.siyuan.v2,2,0,0.0
cn.com.spdb.mobilebank.co,3,1,0.3333333333333333
cn.com.spdb.mobilebank.per,315,67,0.2126984126984127
cn.com.tiros.android.navidog,4,2,0.5
cn.com.tiros.android.navidog4x,1,1,1.0
cn.com.umessage.client12580,1,1,1.0
cn.com.untech.siyang.loan,2,1,0.5
cn.com.wanyueliang.tomato,9,2,0.2222222222222222
cn.com.wdbank,1,0,0.0
cn.com.wdhl.wdhlbrowser,1,0,0.0
cn.com.wealth365.licai,1,0,0.0
cn.com.weidai.wdb,1,0,0.0
cn.com.wens.android.cadre,1,0,0.0
cn.com.weshare.android.shandiandai,21,7,0.3333333333333333
cn.com.weshare.jiekuan,639,159,0.24882629107981222
cn.com.wiisoft.tutule,3,0,0.0
cn.com.wlhz.sq,3,2,0.6666666666666666
cn.com.xishanju.qyq,1,0,0.0
cn.com.xjbank.ui,2,0,0.0
cn.com.xmrc.talent,2,0,0.0
cn.com.zte.yp,5,2,0.4
cn.com.zyb.directbank,1,0,0.0
cn.coolplay.riding,1,0,0.0
cn.coolyou.liveplus,4,1,0.25
cn.cqxunjing.wdxm,3,2,0.6666666666666666
cn.crionline.www.chinanews,1,0,0.0
cn.ctvonline.android,1,0,0.0
cn.damai,15,2,0.13333333333333333
cn.danatech.xingseapp,4,1,0.25
cn.daoan.xianjinloan,1,0,0.0
cn.dayread.android,1,0,0.0
cn.ddcx.zc,1,0,0.0
cn.defujc.living,2,1,0.5
cn.dennis.H5A13124E,3,1,0.3333333333333333
cn.dianzhi.eightgrid_15809,1,0,0.0
cn.dictcn.android.digitize.hdlg_cqdyj5k_12004,1,0,0.0
cn.dictcn.android.digitize.sw_gjxhdzd_10010,1,1,1.0
cn.dictcn.android.digitize.swg_xhzd_21003,9,3,0.3333333333333333
cn.dooone.wifihelper_cn,1,1,1.0
cn.douyuu.miqu,1,1,1.0
cn.douyuu.redpackage,1,0,0.0
cn.dpocket.moplusand.uinew,1,1,1.0
cn.dreamili.yx,1,1,1.0
cn.duoduo100.lhmj,1,0,0.0
cn.duome.winnerc,3,2,0.6666666666666666
cn.duozhuan.dj,3,0,0.0
cn.dxy.android.aspirin,13,3,0.23076923076923078
cn.dxy.idxyer,1,0,0.0
cn.dxy.medicinehelper,2,1,0.5
cn.easyar.sightplus,2,1,0.5
cn.eclicks.chelun,6,3,0.5
cn.eclicks.drivingtest,37,9,0.24324324324324326
cn.eclicks.drivingtestc3,1,1,1.0
cn.eclicks.wzsearch,157,44,0.2802547770700637
cn.ecook,4,0,0.0
cn.ecook.babyfood,1,1,1.0
cn.ecook.babyrecipes,1,1,1.0
cn.ecook.jiachangcai,2,0,0.0
cn.ecook.meishirecipe,3,0,0.0
cn.ecook.sifangcai,1,1,1.0
cn.ecookthree,1,0,0.0
cn.edaijia.android.client,9,2,0.2222222222222222
cn.edaijia.android.driverclient,1,0,0.0
cn.edu.hust.jwtapp,3,1,0.3333333333333333
cn.edu.tju.shequjiaozheng,1,1,1.0
